20,동화약품 ,15700,-650,-3.98,1033,15.2,11860,1.32,"180
"
2700,신일전자 ,1960,20,1.03,115,17.04,1059,1.85,"20
"
4690,삼천리 ,93000,-1400,-1.48,9248,10.06,317378,0.29,"3000
"
6740,영풍제지 ,6910,-180,-2.54,483,14.31,5692,1.21,"40
"
9180,한솔로지스틱스 ,4685,-55,-1.16,316,14.83,1989,2.36,"50
"
10050,우리종금 ,987,-9,-0.9,89,11.09,605,1.63,"10
"
19010,베뉴지 ,2280,-10,-0.44,216,10.56,5453,0.42,"30
"
24090,디씨엠 ,22450,100,0.45,2166,10.36,16153,1.39,"500
"
25530,SJM홀딩스 ,3665,-75,-2.01,221,16.58,9852,0.37,"100
"
33290,코웰패션 ,9140,-40,-0.44,697,13.11,3233,2.83,"120
"
39830,오로라 ,10150,-150,-1.46,781,13,10226,0.99,"100
"
42500,링네트 ,6600,110,1.69,598,11.04,4476,1.47,"0
"
49720,고려신용정보 ,9690,-10,-0.1,740,13.09,2041,4.75,"275
"
53620,태양 ,9040,-80,-0.88,881,10.26,19081,0.47,"150
"
53690,한미글로벌 ,10500,-150,-1.41,974,10.78,10889,0.96,"300
"
56360,코위버 ,7870,-110,-1.38,599,13.14,12442,0.63,"80
"
67920,이글루시큐리티 ,7430,-90,-1.2,526,14.13,4533,1.64,"160
"
69080,웹젠 ,28100,1100,4.07,2802,10.03,12300,2.28,"0
"
71460,위니아딤채 ,3900,-20,-0.51,348,11.21,2186,1.78,"0
"
81660,휠라홀딩스 ,36650,-450,-1.21,2306,15.89,21274,1.72,"185
"
90350,노루페인트 ,10550,150,1.44,879,12,16315,0.65,"275
"
92730,네오팜 ,26650,-50,-0.19,2318,11.5,14343,1.86,"650
"
93320,케이아이엔엑스 ,47300,-500,-1.05,3156,14.99,22393,2.11,"500
"
103140,풍산 ,33350,250,0.76,2567,12.99,51539,0.65,"600
"
104830,원익머트리얼즈 ,32500,-50,-0.15,2628,12.37,26857,1.21,"200
"
119860,다나와 ,28200,200,0.71,2387,11.81,10461,2.7,"600
"
122450,KMH ,8820,-170,-1.89,718,12.28,5865,1.5,"0
"
126640,화신정공 ,2245,-15,-0.66,138,16.27,2357,0.95,"30
"
